"","file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id"
"178","M_F2_27x113_2",86.1542247191011,13.3054432254698,3926.44314606742,1023.65439985155,268.99244494382,49.0638663834075,108.232260674157,21.414327778391,45.6733213483146,6.91502370189969,2.39658426966292,0.480584819138212,0.01,0.3,10.5555555555556,89,9410.7,9411,891.54,13193.68,1249.93,588.38,25.23,83.67,474.88,2294.69,227.09,"M_F2_27x113_2-84"
"179","M_F2_27x113_2",103.249357894737,14.7658936079318,2819.00463157895,1268.93551414529,215.720677894737,59.3934289460081,86.8083536842106,22.6379703549938,39.3586105263158,10.2122110296206,2.24232631578947,0.41008461612845,0,0.67,12.8888888888889,95,7869.4,7803,605.37,22264.05,1727.38,981.26,11.56,143.77,510.63,2628.45,104.05,"M_F2_27x113_2-88"
"180","M_F2_27x113_2",87.7768333333333,8.18924897998225,2573.37,791.238040552173,209.98935,43.1621985219962,80.5777875,17.7987917563155,40.3930125,8.55110505404511,2.08170833333333,0.635001913244804,-0.09,0.78,11.5555555555556,96,5590.17,3341,289.14,12415.59,1074.43,310.93,0.77,75.24,665.15,2180.77,6.96,"M_F2_27x113_2-89"
"181","M_F2_27x113_2",77.0922464788732,14.2148796295319,3637.19661971831,1572.4321710924,250.144884507042,69.1088961296224,96.2598676056338,27.6770163062391,46.2094732394366,10.8343309529216,2.1045,0.494384419152454,0.04,0.85,18.2222222222222,142,4554.16,3872,212.47,17377.11,953.62,1495.45,3.64,147.74,651.33,2765.42,32.75,"M_F2_27x113_2-9"
"182","M_F2_27x113_2",76.0690377358491,14.259983582311,2244.76981132075,934.494459428138,192.10000754717,52.6187150112079,75.8192603773585,20.8230639568275,36.5840830188679,9.21250309904417,2.14837735849057,0.651600934575022,-0.03,0.43,6.77777777777778,53,7023.29,6819,1006.12,12715.53,1876.06,475.86,49.38,74.99,381.34,2880.69,222.22,"M_F2_27x113_2-94"
"183","M_F2_27x113_3",94.3807261904762,10.7031968522826,4251.80571428572,1864.44105768627,281.388085714286,81.905025478303,109.463464285714,31.1736854337832,47.4087214285715,12.7318144837788,2.34996428571429,0.571740549726781,-0.08,1.02,25.6666666666667,168,8169.19,8045,313.43,42852.49,1669.58,2196.19,5.4,265.35,659.89,2704.28,14.02,"M_F2_27x113_3-1"
"184","M_F2_27x113_3",100.443202531646,5.69603156362741,3330.88405063291,1480.08369836227,239.920359493671,81.825502313495,91.4304759493671,28.1271054008052,44.4734430379747,11.7666267441905,2.08494936708861,0.561254796078741,0.05,0.87,11.6666666666667,79,4838.16,833,71.43,15813.51,1355.44,2828.2,3.05,323.43,662.45,2828.2,27.49,"M_F2_27x113_3-10"
"185","M_F2_27x113_3",66.0071914893617,3.83991336314346,1975.43489361702,867.21228860285,184.748936170213,55.1519251667153,74.2364425531915,21.8883970700753,32.951029787234,8.4576630209305,2.36929787234043,0.894096043739238,-0.06,0.77,8.77777777777778,47,5475.8,5476,623.83,15890.64,1810.33,1908.66,60.83,358.17,457.88,2650.85,547.44,"M_F2_27x113_3-102"
"186","M_F2_27x113_3",89.2978484848485,15.7659855238432,3211.72363636364,1498.11161918791,238.104545454546,71.4994647530234,92.8777090909091,27.6005512657055,42.1935272727273,10.0471312839995,2.2470303030303,0.659519312501273,-0.08,0.69,14,99,8809.75,7425,530.38,23394.79,1671.06,918.74,36.4,116.98,444.91,2606.4,40.95,"M_F2_27x113_3-107"
"187","M_F2_27x113_3",76.3439473684211,10.3511634015234,2005.38947368421,1007.10638628062,181.3608,60.2109019535262,72.1849263157895,22.0273160738671,33.5038736842105,9.48255721391588,2.20017543859649,0.523679295357345,-0.02,0.64,10.5555555555556,57,8059.14,7635,723.28,16397.84,1553.48,1885.2,26.96,337.9,529.19,2854.87,242.64,"M_F2_27x113_3-12"
